InvoiceID,invoice_date,customer_id,customer_name,country,product_id,product_name,category,quantity,unit_price,total,payment_method,return_status,ReviewScore,promo,delivery_days,shipping_cost
INV1000,22/03/2025 18:19,CUST1989,Karen Johnson,Australia,P1054,Until Technology,Sports,2,300.22,600.44,Bank Transfer,Returned,5,No,4,0.20
INV1001,20/06/2023 9:29,CUST2404,Christopher Perez,Germany,P1398,Within Carry,Food,1,24.73,24.73,Bank Transfer,Not Returned,1,No,3,15.92
INV1002,14/12/2024 15:32,CUST2271,Kimberly Lutz,USA,P1128,Sister Note,Automotive,2,82.93,165.86,Bitcoin,Returned,2,Yes,1,22.74
INV1003,13/01/2024 0:09,CUST1669,Michael Morrison,U.S.,P1382,Girl New,Electronics,4,119.58,478.32,Bank Transfer,Not Returned,2,Yes,4,22.85
INV1004,18/10/2023 8:00,CUST1986,Angela Jackson,Australia,P1495,Treatment Nearly,Garden,3,472.89,1418.67,Bitcoin,Not Returned,1,Yes,13,16.91
INV1005,18/01/2024 10:46,CUST2381,Debbie Dunn,New Zealand,P1203,Where Central,Electronics,5,262.36,1311.80,Credit Card,Not Returned,5,No,9,9.53
INV1006,13/12/2023 8:01,CUST2307,Crystal Cruz,Canada,P1481,West Month,Electronics,3,150.22,450.66,Bank Transfer,Not Returned,1,Yes,10,20.60
INV1007,27/05/2023 9:47,CUST2435,Melinda Mitchell,USA,P1154,Range Imagine,Home,4,135.91,543.64,Bank Transfer,Not Returned,,Yes,3,22.18
INV1008,3/08/2023 1:48,CUST1277,Marie Christian,France,P1198,Return Such,Food,4,220.11,880.44,PayPal,Not Returned,5,Yes,13,12.23
INV1009,17/01/2024 22:22,CUST1835,Timothy Hill,Australia,P1480,Successful Meeting,Electronics,3,165.57,496.71,Bitcoin,Not Returned,2,Yes,10,9.18
INV1010,29/01/2025 1:05,CUST2320,Diane Mcdowell,Canada,P1183,Increase Realize,Sports,1,402.11,402.11,Bitcoin,Not Returned,1,Yes,,19.67
INV1011,9/07/2023 21:27,CUST1498,Meghan Rush,France,P1064,Arm Focus,Toys,5,486.08,2430.40,PayPal,Not Returned,1,No,12,3.69
INV1012,8/07/2024 10:28,CUST2220,Erica Moon,U.S.,P1001,Hot Itself,Toys,3,126.22,378.66,Bank Transfer,Not Returned,,Yes,2,0.37
INV1013,15/05/2024 4:32,CUST1487,Samantha Gardner,UK,P1301,War Defense,Books,3,55.44,166.32,Bitcoin,Not Returned,5,Yes,7,11.21
INV1014,8/03/2024 12:12,CUST1741,Manuel Brock,France,P1262,Population Wrong,Electronics,5,429.08,2145.40,Credit Card,Not Returned,5,No,7,16.08
INV1015,1/10/2023 13:52,CUST1063,Donald Wright,New Zealand,P1031,Evidence Hit,Clothing,4,306.52,1226.08,Bitcoin,Not Returned,3,Yes,14,2.02
INV1016,15/09/2024 11:34,CUST2245,Monica Brooks,India,P1075,Believe Doctor,Toys,1,123.53,123.53,Bank Transfer,Not Returned,4,No,7,12.64
INV1017,5/09/2024 6:20,CUST1881,Denise Brown,France,P1050,I Bar,Home,1,257.22,257.22,PayPal,Not Returned,1,No,5,20.69
INV1018,16/10/2023 11:07,CUST1816,Tamara Riddle,Australia,P1212,Friend Those,Books,1,213.12,213.12,Bank Transfer,Not Returned,5,No,1,2.28
INV1019,2/07/2024 22:16,CUST1174,Nicole Herring,Australia,P1047,Quality First,Food,4,217.07,868.28,Credit Card,Not Returned,4,No,10,3.06
INV1020,29/12/2024 7:21,CUST1724,Mary Miller,USA,P1447,Share Resource,Toys,4,419.55,1678.20,Bank Transfer,Not Returned,4,Yes,2,16.42
INV1021,4/02/2025 22:01,CUST1459,Ruben Dunn,France,P1433,Remember Measure,Clothing,1,233.42,233.42,Bank Transfer,Not Returned,3,Yes,9,23.23
INV1022,30/07/2023 2:30,CUST2420,Wayne Wolfe,UK,P1136,Affect However,Food,1,284.79,284.79,Bank Transfer,Returned,1,No,1,3.55
INV1023,17/11/2024 4:46,CUST2296,Alison Williams,France,P1497,Foreign Work,Sports,1,346.71,346.71,Bitcoin,Not Returned,1,No,4,18.04
